GL Code,Category,Combined Allowed,Description,Height Limit (ft),Max Stories,Notes,Prohibited With,Residential Only,Subcategory
11234,,No,"Cosmetic, Hair or Skin Preparation Stores",,,,,No,
11248,,No,Cotton or Wool Merchants,,,,,No,
11258,,No,Dairy Products or Butter and Egg Stores--Other Than Not-For-Profit,,,,,No,
11259,,No,Dairy Products or Butter and Egg Stores--Not-For-Profit Only,,,,,No,
11273,,No,"Dance Halls, Ballrooms or Discotheques--Other Than Not-For-Profit",,,,,No,
11274,,No,"Dance Halls, Ballrooms or Discotheques--Not-For-Profit Only",,,,,No,
11288,,No,Delicatessens,,,,,No,
12014,,No,Dental Laboratories,,,,,No,
12356,,No,Department or Discount Stores,,,,,No,
12361,,No,Distributors--Food or Drink,,,,,No,
12362,,No,Distributors--No Food or Drink,,,,,No,
12373,,No,Drug Distributors,,,,,No,
12374,,No,Drugstores--No Table or Counter Service for Beverage or Food,,,,,No,
12375,,No,Drugstores,,,,,No,
12391,,No,Electrical Equipment Distributors,,,,,No,
12393,,No,Electronics Store,,,,,No,
12467,,No,"Equipment, Fixtures or Supplies--for Bars, Hotels, Offices, Restaurants or Stores--Distributors",,,,,No,
12509,,No,Fabric Distributors,,,,,No,
12510,,No,Fabric Stores,,,,,No,
12583,,No,"Feed, Grain or Hay Dealers",,,,,No,
12651,,No,Fence Dealers,,,,,No,
12683,,No,Fertilizer Dealers and Distributors,,,,,No,
12707,,No,Fire Protection Equipment Dealers and Distributors,,,,,No,
12797,,No,Floor Covering Distributors,,,,,No,
12805,,No,Floor Covering Stores,,,,,No,
12841,,No,Florists,,,,,No,
12927,,No,Formal Wear or Costumes--Rented to Others,,,,,No,
13049,,No,Frozen Food--Distributors,,,,,No,
13111,,No,Fruit or Vegetable Dealers,,,,,No,
13112,,No,Fruit or Vegetable Distributors,,,,,No,
13201,,No,Fuel Dealers or Distributors--Coal or Wood,,,,,No,
13204,,No,Fuel Oil or Kerosene Dealers,,,,,No,
13205,,No,Fuel Oil or Kerosene Distributors,,,,,No,
13314,,No,Fur--Garments and Pelts--Distributors,,,,,No,
13351,,No,Furniture Stores--Other Than Not-For-Profit,,,,,No,
13352,,No,Furniture Stores--Not-For-Profit Only,,,,,No,
13410,,No,Gas Dealers--LPG,,,,,No,
13411,,No,Gas Dealers or Distributors,,,,,No,
13412,,No,Gas Distributors--LPG,,,,,No,
13453,,No,Gasoline Stations--Full Service,,,,,No,
13454,,No,Gasoline Stations--Self-Service,,,,,No,
13455,,No,Gasoline Stations--Self and Full Service Combined,,,,,No,
13506,,No,Gift Shops--Other Than Not-For-Profit,,,,,No,
